format	definitions	instances	example
int32	11781	74407	https://api.swaggerhub.com/apis/zzm628/test1/1.0.0
date-time	5893	26965	https://api.swaggerhub.com/apis/zzm628/test1/1.0.0
int64	5762	68963	https://api.swaggerhub.com/apis/zzm628/test1/1.0.0
uuid	5681	9759	https://api.swaggerhub.com/apis/zyhnjust/getName/1.0.0
url	4853	5284	https://api.swaggerhub.com/apis/zyhnjust/getName/1.0.0
double	1334	18685	https://api.swaggerhub.com/apis/zsohnel/zeshop/1.0.0
date	845	6993	https://api.swaggerhub.com/apis/ztolley/datahub/1.0.0
uri	492	1709	https://api.swaggerhub.com/apis/zsohnel/zeshop/1.0.0
float	441	2370	https://api.swaggerhub.com/apis/ztolley/datahub/1.0.0
string	354	4981	https://api.swaggerhub.com/apis/zezeron/hedefIN/v2
email	284	563	https://api.swaggerhub.com/apis/zuora/notification-service_public_api/1.0.0
integer	207	1382	https://api.swaggerhub.com/apis/ZiNETHQ/SimpleUK/2.0
password	199	346	https://api.swaggerhub.com/apis/zoooN/Ordzhonikidze_API/1.0.0
byte	161	424	https://api.swaggerhub.com/apis/zhilvis/signify-pdf-signer/1.0.0
dateTime	110	509	https://api.swaggerhub.com/apis/zwarag/idea-db/0.2.1
datetime	96	410	https://api.swaggerhub.com/apis/zackrspv/PPOS/1.0.0
int	74	408	https://api.swaggerhub.com/apis/ZiNETHQ/SimpleUK/2.0
decimal	66	1675	https://api.swaggerhub.com/apis/zackrspv/PPOS/1.0.0
binary	65	163	https://api.swaggerhub.com/apis/zopeff/Test/1.0.0
boolean	57	352	https://api.swaggerhub.com/apis/Wildberries/DocumentsStorage/1.2.1
number	46	663	https://api.swaggerhub.com/apis/zezeron/hedefIN/v2
long	44	268	https://api.swaggerhub.com/apis/zuora/uom/1.0.0
time	33	62	https://api.swaggerhub.com/apis/uironz/gora-api/0.2.0
json	28	89	https://api.swaggerhub.com/apis/wagagt/tecniscan/v1
JSON	23	5665	https://api.swaggerhub.com/apis/unfetter/cti-stix-store/0.2.1
guid	22	167	https://api.swaggerhub.com/apis/zoooN/Ordzhonikidze_API/1.0.0
text	21	121	https://api.swaggerhub.com/apis/WeP/GSTR1_D/1.0.0
phone	19	31	https://api.swaggerhub.com/apis/vmfernandez/your-api/3.0.0
timestamp	19	68	https://api.swaggerhub.com/apis/ZiNETHQ/SimpleUK/2.0
UUID	18	64	https://api.swaggerhub.com/apis/wharrison/dealerapi/1.0
array	17	30	https://api.swaggerhub.com/apis/Wengema/Test/1.0.0
int16	17	55	https://api.swaggerhub.com/apis/yaninasabon/yaml-file_for_deal_hub_and_manage_sales/1.1.0
id	14	87	https://api.swaggerhub.com/apis/zezeron/hedefIN/v2
uint32	14	72	https://api.swaggerhub.com/apis/wuxiuchao/L3VPN-SBI/1.0
URL	13	19	https://api.swaggerhub.com/apis/yashoda.lingegowda/price-api/DRAFT
base64	12	21	https://api.swaggerhub.com/apis/vmfernandez/your-api/3.0.0
yyyy-mm-dd	12	104	https://api.swaggerhub.com/apis/VKoptev/Affise/2.0
Int32	11	43	https://api.swaggerhub.com/apis/webron/talenyaext/1.0.1
	10	169	https://api.swaggerhub.com/apis/yusufunwala/identity/1.0.0
YYYY-MM-DD	10	19	https://api.swaggerhub.com/apis/zerocaps/zerocaps-test1/0.0.6
jwt	10	16	https://api.swaggerhub.com/apis/Vivien/users-api/1.0.0
required	9	360	https://api.swaggerhub.com/apis/shashikant_prodio/CURBSIDE_API/1.0.1
YYYY-mm-dd	8	11	https://api.swaggerhub.com/apis/vvidotto/FundService/1.0.0
file	8	8	https://api.swaggerhub.com/apis/zezeron/hedefIN/v2
String	7	17	https://api.swaggerhub.com/apis/Zackary.B.Jerabek/GetProfile/1.0.0
mail	7	7	https://api.swaggerhub.com/apis/yehuda/kodak-api/1.0.1
object	7	35	https://api.swaggerhub.com/apis/vignesh_a/firstDataAPI/3.0.0
uid	7	24	https://api.swaggerhub.com/apis/torrange/Tour/1.0.0
Date	6	11	https://api.swaggerhub.com/apis/tdang2/College-Measure/1.0.0
enum	6	38	https://api.swaggerhub.com/apis/zxspeccy/allegro-orders/0.0.1
hash	6	19	https://api.swaggerhub.com/apis/ums-dev/HOTSTAR-UM-COMPOSITE/0.0.1
hostname	6	8	https://api.swaggerhub.com/apis/wangzw/test/1.0.0
integer64	6	17	https://api.swaggerhub.com/apis/lmira/propertyCrossMdpa/1.0.0
money	6	21	https://api.swaggerhub.com/apis/wenbo-lotusflare/subscription-manager/1.0.0
GUID	5	9	https://api.swaggerhub.com/apis/RedRoof/Reservations/v1
